Longitude,Latitude,Address
-85.25597531,35.03772579, 502 LATIMORE ST
-85.2445576,35.05783167, 2911 JUDY ANN DR
-85.24244654,35.0549792, 3108 DEE DR
-85.24128041,35.05506999, 3119 DEE DR
-85.24221366,35.05639936, 2012 EMMA KATE DR
-85.24462988,35.0577698, 2909 JUDY ANN DR
-85.25586415,35.03789602, 510 LATIMORE ST
-85.25591044,35.03781766, 506 LATIMORE ST
-85.24477199,35.05768984, 2907 JUDY ANN DR
-85.24368402,35.05770146, 3006 DEE DR
-85.24194467,35.05469541, 3116 DEE DR
-85.24435425,35.05788766, 2913 JUDY ANN DR
-85.24262006,35.05668276, 2019 EMMA KATE DR
-85.25613443,35.03844505, 523 LATIMORE ST
-85.24237246,35.05734838, 2031 EMMA KATE DR
-85.24261401,35.05505442, 3106 DEE DR
-85.24236767,35.05593672, 2004 EMMA KATE DR
-85.2437566,35.05537235, 3051 DEE DR
-85.24225641,35.05534773, 3105 DEE DR
-85.24872401,35.0774423, 2100 SIMS ST
-85.24328522,35.05521503, 3057 DEE DR
-85.24226039,35.05624226, 2010 EMMA KATE DR
-85.25639799,35.03801819, 505 LATIMORE ST
-85.24228896,35.05616517, 2008 EMMA KATE DR
-85.25567078,35.03819297, 522 LATIMORE ST
-85.24505634,35.05751645, 2901 JUDY ANN DR
-85.24409171,35.05550476, 3045 DEE DR
-85.25631119,35.0381853, 511 LATIMORE ST
-85.24117773,35.0550477, 3121 DEE DR
-85.24164474,35.05470953, 3120 DEE DR
-85.2443596,35.05578906, 3039 DEE DR
-85.24405639,35.05667101, 3025 DEE DR
-85.24210327,35.05666481, 2016 EMMA KATE DR
-85.24354162,35.05824805, 3001 DEE DR
-85.24223873,35.05478747, 3112 DEE DR
-85.24433704,35.05585506, 3037 DEE DR
-85.24288029,35.05589581, 2005 EMMA KATE DR
-85.25593565,35.03778134, 504 LATIMORE ST
-85.24153814,35.05514247, 3115 DEE DR
-85.25620788,35.03832283, 517 LATIMORE ST
-85.25618157,35.03836878, 519 LATIMORE ST
-85.25807872,35.05453713, 2302 OCOEE ST
-85.24362192,35.05820644, 3003 DEE DR
-85.24234865,35.05536996, 3103 DEE DR
-85.2415894,35.05463302, 3122 DEE DR
-85.2503841,35.06936258, 2801 TAYLOR ST
-85.26204131,35.07829566, 1295 STUART ST
-85.25564313,35.03823593, 524 LATIMORE ST
-85.24431287,35.05609341, 3033 DEE DR
-85.24413264,35.05711644, 3021 DEE DR
-85.24268557,35.05647092, 2015 EMMA KATE DR
-85.25583242,35.0379409, 512 LATIMORE ST
-85.25068862,35.0695636, 2219 BACHMAN ST
-85.2502381,35.06959854, 2805 TAYLOR ST
-85.23513984,35.08907512, 2512 N  WILDER ST
-85.2436372,35.0570796, 3016 DEE DR
-85.24373587,35.05763441, 3008 DEE DR
-85.24433542,35.05602741, 3035 DEE DR
-85.25571659,35.03811371, 518 LATIMORE ST
-85.24358912,35.05529713, 3053 DEE DR
-85.24426505,35.05625345, 3031 DEE DR
-85.25588634,35.03785561, 508 LATIMORE ST
-85.24995873,35.07011178, 2813 TAYLOR ST
-85.25574308,35.03807499, 516 LATIMORE ST
-85.24421743,35.05743165, 3015 DEE DR
-85.24185412,35.05473492, 3118 DEE DR
-85.2501639,35.06973546, 2807 TAYLOR ST
-85.24146144,35.05450393, 3124 DEE DR
-85.24384402,35.05540698, 3049 DEE DR
-85.25046101,35.07034466, 2208 CUSHMAN ST
-85.2488829,35.07244078, 2210 WILDER ST
-85.23606044,35.0782147, 2803 RIDGECREST DR
-85.24294199,35.07209195, 3126 NOA ST
-85.25236152,35.07171359, 2909 CURTIS ST
-85.21186108,35.0722412, 3828 DEERFOOT DR
-85.23380607,35.08975429, 4208 PINE ST
-85.22319611,35.07986019, 4121 BONNY OAKS DR
-85.23990431,35.07880351, 2506 RIDGECREST DR
-85.22561183,35.07927546, 4034 BONNY OAKS DR
-85.22511034,35.07777484, 3905 BRYANT ST
-85.2352962,35.09156416, 4307 WALNUT ST
-85.21093735,35.07397128, 4303 BUTTERFLY DR
-85.22275154,35.07924858, 4136 BONNY OAKS DR
-85.23724973,35.07778669, 2703 RIDGECREST DR
-85.25748256,35.07751531, 3201 RIVERSIDE DR
-85.22471549,35.07738364, 3904 BRYANT ST
-85.2347006,35.07892654, 2815 RIDGECREST DR
-85.23367392,35.09089998, 4305 PINE ST
-85.26053218,35.08154811, 1101 WISDOM ST
-85.22908741,35.07561428, 3820 WAUCHULA ST
-85.23415292,35.09005434, 2518 MAPLE ST
-85.24015402,35.07792547, 3515 E  CREST DR
-85.23351682,35.0912206, 4309 PINE ST
-85.24521565,35.07770912, 3516 TAYLOR ST
-85.24344526,35.08012517, 3700 TAYLOR ST
-85.25748255,35.07845451, 1402 WISDOM ST
-85.22457246,35.08196164, 3205 GRANADA ST
-85.25715543,35.07789694, 3207 RIVERSIDE DR
-85.22428753,35.08112259, 4057 GLENCOE ST
-85.22011454,35.07965874, 4228 BONNY OAKS DR
-85.21719404,35.08086647, 4251 BONNY OAKS DR
-85.22500466,35.07800672, 3919 BRYANT ST
-85.23495748,35.07880026, 2813 RIDGECREST DR
-85.2395433,35.07802675, 3521 E  CREST DR
-85.22592309,35.08190525, 3110 GRANADA ST
-85.22919448,35.0783641, 3903 BONNY OAKS DR
-85.25612953,35.07789793, 1504 WISDOM ST
-85.26769294,35.06887169, 1008 CRUTCHFIELD ST
-85.23233152,35.07140055, 3601 WAUCHULA ST
-85.22371588,35.08174196, 3213 GRANADA ST
-85.23598487,35.07781012, 2804 RIDGECREST DR
-85.24920777,35.07572048, 2105 WISDOM ST
-85.22792705,35.07631251, 3835 WAUCHULA ST
-85.24579809,35.06898743, 2813 NOA ST
-85.25249858,35.07426339, 1911 WILDER ST
-85.23260866,35.09195985, 4404 PINE ST
-85.22718918,35.07994204, 4005 HOMER ST
-85.22885018,35.07891256, 3921 BONNY OAKS DR
-85.22582632,35.08076685, 4044 HOMER ST
-85.25258543,35.07128917, 2817 CURTIS ST
-85.25338506,35.07149311, 2006 CUSHMAN ST
-85.25189114,35.06732726, 2209 APPLING ST
-85.23098589,35.06707844, 3051 TOWERWAY DR
-85.24724723,35.07491339, 3301 TAYLOR ST
-85.25316347,35.06861567, 2104 FAIRLEIGH ST
-85.24915688,35.06783064, 2401 FAIRLEIGH ST
-85.23852148,35.07362138, 3415 CAMPBELL ST
-85.23362165,35.09163747, 2512 CEDAR ST
-85.23372446,35.08991318, 4210 PINE ST
-85.25298137,35.07138874, 2012 CUSHMAN ST
-85.24633394,35.07189763, 2409 WILDER ST
-85.23563556,35.07842942, 2807 RIDGECREST DR
-85.24029745,35.0728634, 3310 CAMPBELL ST
-85.22633692,35.0808657, 4037 HOMER ST
-85.243992,35.07863688, 2331 RIDGECREST DR
-85.26136276,35.07341287, 2826 BENTON AVE
-85.23427478,35.06635618, 3022 TOWERWAY DR
-85.22802079,35.07724973, 3854 BONNY OAKS DR
-85.26007038,35.07897428, 1200 WISDOM ST
